DATE	P15	P40	P60	P85
09-19	39.4	49.0	60.3	82.0	
09-20	38.2	48.5	59.1	80.7	
09-21	37.2	48.2	58.7	78.9	
09-22	36.1	48.4	58.9	78.2	
09-23	36.7	48.0	58.4	78.1	
09-24	36.8	48.3	58.5	79.9	
09-25	36.6	48.4	58.1	81.4	
09-26	36.7	49.9	58.1	83.8	
09-27	36.6	50.0	59.7	85.2	
09-28	35.9	49.7	58.6	84.5	
09-29	35.1	48.5	57.1	83.5	
09-30	34.4	48.1	56.1	82.0	
10-01	35.4	48.3	56.5	82.2	
10-02	35.8	48.4	56.6	83.5	
10-03	36.1	48.4	58.2	83.4	
10-04	36.1	48.4	59.6	83.7	
10-05	36.0	48.4	59.4	86.4	
10-06	36.1	48.8	59.5	86.4	
10-07	36.1	49.3	59.5	86.3	
10-08	36.2	49.6	59.5	86.4	
10-09	36.6	48.8	59.2	87.1	
10-10	34.8	48.6	60.9	87.6	
10-11	32.9	48.3	59.9	87.3	
10-12	32.4	48.0	60.5	88.3	
10-13	29.4	45.2	57.8	86.3	
10-14	26.4	44.6	54.7	83.2	
10-15	24.4	44.6	53.2	80.3	
10-16	23.8	43.7	51.8	78.3	
10-17	23.7	43.9	51.7	78.1	
10-18	25.6	43.9	51.8	78.5	
10-19	26.0	43.3	51.3	79.0	
10-20	26.1	45.0	54.2	79.0	
10-21	26.8	45.1	57.1	79.0	
10-22	26.6	45.1	57.4	79.0	
10-23	27.0	45.1	57.4	79.0	
10-24	29.1	46.3	57.3	79.1	
10-25	28.9	46.6	57.3	79.0	
10-26	28.9	46.6	57.3	79.1	
10-27	28.9	47.0	57.5	81.2	
10-28	29.0	48.2	59.4	81.9	
10-29	28.9	48.7	60.5	81.5	
10-30	31.2	49.0	63.3	81.7	
10-31	31.1	50.4	66.0	82.8	
11-01	32.6	49.4	67.4	80.6	
11-02	33.8	49.3	67.8	80.7	
11-03	35.1	49.3	67.9	81.5	
11-04	35.2	52.3	67.9	81.4	
11-05	37.2	51.5	66.7	80.2	
11-06	37.2	51.9	66.6	81.9	
11-07	36.8	51.5	65.8	81.1	
11-08	37.1	52.3	64.5	80.7	
11-09	39.7	52.5	64.3	82.9	
11-10	40.5	51.5	63.8	81.4	
