DATE	P15	P40	P60	P85
10-03	-5.654	-5.452	-5.302	-5.034	
10-04	-5.654	-5.456	-5.297	-5.039	
10-05	-5.657	-5.459	-5.301	-5.043	
10-06	-5.66	-5.463	-5.3	-5.048	
10-07	-5.663	-5.467	-5.289	-5.053	
10-08	-5.667	-5.47	-5.293	-5.057	
10-09	-5.67	-5.474	-5.297	-5.058	
10-10	-5.671	-5.478	-5.301	-5.055	
10-11	-5.664	-5.481	-5.305	-5.057	
10-12	-5.644	-5.485	-5.309	-5.062	
10-13	-5.641	-5.473	-5.299	-5.054	
10-14	-5.644	-5.466	-5.279	-5.058	
10-15	-5.647	-5.47	-5.273	-5.063	
10-16	-5.651	-5.467	-5.271	-5.067	
10-17	-5.654	-5.457	-5.276	-5.072	
10-18	-5.657	-5.461	-5.28	-5.077	
10-19	-5.659	-5.453	-5.284	-5.081	
10-20	-5.661	-5.448	-5.288	-5.076	
10-21	-5.661	-5.446	-5.292	-5.057	
10-22	-5.664	-5.449	-5.296	-5.045	
10-23	-5.667	-5.453	-5.299	-5.045	
10-24	-5.665	-5.457	-5.29	-5.045	
10-25	-5.662	-5.454	-5.294	-5.037	
10-26	-5.66	-5.456	-5.285	-5.041	
10-27	-5.651	-5.446	-5.289	-5.042	
10-28	-5.654	-5.433	-5.287	-5.038	
10-29	-5.657	-5.423	-5.289	-5.043	
10-30	-5.66	-5.427	-5.293	-5.048	
10-31	-5.664	-5.431	-5.297	-5.052	
11-01	-5.667	-5.433	-5.301	-5.057	
11-02	-5.661	-5.417	-5.305	-5.045	
11-03	-5.66	-5.421	-5.29	-5.04	
11-04	-5.663	-5.425	-5.271	-5.045	
11-05	-5.645	-5.429	-5.262	-5.049	
11-06	-5.648	-5.432	-5.266	-5.054	
11-07	-5.638	-5.426	-5.257	-5.059	
11-08	-5.624	-5.42	-5.254	-5.063	
11-09	-5.627	-5.418	-5.258	-5.068	
11-10	-5.63	-5.419	-5.254	-5.073	
11-11	-5.619	-5.421	-5.255	-5.074	
11-12	-5.622	-5.404	-5.252	-5.066	
11-13	-5.626	-5.399	-5.256	-5.058	
11-14	-5.629	-5.403	-5.26	-5.063	
11-15	-5.62	-5.4	-5.264	-5.067	
11-16	-5.618	-5.398	-5.268	-5.051	
11-17	-5.622	-5.401	-5.263	-5.031	
11-18	-5.622	-5.405	-5.265	-5.012	
11-19	-5.619	-5.401	-5.266	-4.992	
11-20	-5.622	-5.405	-5.261	-4.979	
11-21	-5.626	-5.392	-5.257	-4.984	
11-22	-5.627	-5.396	-5.256	-4.989	
11-23	-5.617	-5.4	-5.26	-4.97	
11-24	-5.61	-5.403	-5.255	-4.951	
11-25	-5.598	-5.387	-5.247	-4.94	
11-26	-5.601	-5.38	-5.251	-4.944	
11-27	-5.582	-5.38	-5.248	-4.949	
11-28	-5.579	-5.375	-5.241	-4.951	
11-29	-5.583	-5.357	-5.244	-4.955	
11-30	-5.576	-5.341	-5.248	-4.952	
12-01	-5.58	-5.321	-5.252	-4.957	
12-02	-5.583	-5.318	-5.232	-4.962	
12-03	-5.584	-5.322	-5.225	-4.967	
12-04	-5.583	-5.318	-5.229	-4.966	
12-05	-5.58	-5.319	-5.233	-4.971	
12-06	-5.583	-5.314	-5.238	-4.976	
12-07	-5.586	-5.303	-5.242	-4.981	
12-08	-5.59	-5.305	-5.232	-4.986	
12-09	-5.593	-5.309	-5.217	-4.991	
12-10	-5.597	-5.313	-5.214	-4.995	
12-11	-5.599	-5.312	-5.218	-5.0	
12-12	-5.581	-5.312	-5.212	-4.994	
12-13	-5.584	-5.316	-5.198	-4.983	
